1	English	application/x-vnd.dw-Paladin	787335371
System libraries:	LibWindow		System libraries:
Target name:	ProjectSettingsWindow		Target name:
Target name:	TemplateWindow		Target name:
Target type	ProjectSettingsWindow		Target type
Target type:	ProjectSettingsWindow		Target type:
Terminal output	TerminalWindow		Terminal output
The default path for new projects.	PrefsWindow		The default path for new projects.
The folders you want Paladin to search for header files	ProjectSettingsWindow		The folders you want Paladin to search for header files
The following files had problems replacing the search terms:\n	FindWindow		The following files had problems replacing the search terms:\n
The kind of program you want to build	ProjectSettingsWindow		The kind of program you want to build
The location entered does not exist.\nPlease check to make sure you have entered it correctly.	PathBox		The location entered does not exist.\nPlease check to make sure you have entered it correctly.
The name of the compiled application or library	TemplateWindow		The name of the compiled application or library
The name of your project. It can be the same as the Target name, but it does not have to be.	TemplateWindow		The name of your project. It can be the same as the Target name, but it does not have to be.
The project cannot be built because some of its files are missing.	ProjectWindow		The project cannot be built because some of its files are missing.
These files (except libraries) will be permanently deleted. Remove them?	CodeLibWindow		These files (except libraries) will be permanently deleted. Remove them?
This cannot be undone. Delete module?	CodeLibWindow		This cannot be undone. Delete module?
This project is not under source control. Would you like to use %sourcecontrol% for this project?\nYou will only be asked this one time.	Paladin		This project is not under source control. Would you like to use %sourcecontrol% for this project?\nYou will only be asked this one time.
This project is on a read-only disk. You will not be able to build it, but you can still view its files and do anything else that does not require saving to the disk.	Paladin		This project is on a read-only disk. You will not be able to build it, but you can still view its files and do anything else that does not require saving to the disk.
This will undo all changes since the last commit. Continue?	ProjectWindow		This will undo all changes since the last commit. Continue?
Tools	ProjectWindow		Tools
Type to search	QuickFindWindow		Type to search
Unable to pull from the remote repository. If it uses a secure connection, please set up the appropriate SSH keys on the remote server.	ProjectWindow		Unable to pull from the remote repository. If it uses a secure connection, please set up the appropriate SSH keys on the remote server.
unavailable	PrefsWindow		unavailable
Unit separator	AsciiWindow	ASCII table description	Unit separator
Unknown	SCMManager		Unknown
Update dependencies	ProjectWindow		Update dependencies
Updating dependencies	ProjectWindow		Updating dependencies
Updating resources	ProjectWindow		Updating resources
Updating resources\n	Paladin		Updating resources\n
Usage: Paladin [-b] [-m] [-r] [-s] [-d] [-v] [file1 [file2 ...]]\n-b, Build the specified project. Only one file can be specified with this switch.\n-m, Generate a makefile for the specified project.\n-r, Completely rebuild the project.\n-s, Use only one thread for building.\n-d, Print debugging output.\n-v, Make debugging mode verbose.\n	Paladin		Usage: Paladin [-b] [-m] [-r] [-s] [-d] [-v] [file1 [file2 ...]]\n-b, Build the specified project. Only one file can be specified with this switch.\n-m, Generate a makefile for the specified project.\n-r, Completely rebuild the project.\n-s, Use only one thread for building.\n-d, Print debugging output.\n-v, Make debugging mode verbose.\n
Use ccache to build faster	PrefsWindow		Use ccache to build faster
Use fastdep dependency checker	PrefsWindow		Use fastdep dependency checker
Use single thread	PrefsWindow		Use single thread
Use the fastdep dependency checker instead of gcc	PrefsWindow		Use the fastdep dependency checker instead of gcc
User libraries:	LibWindow		User libraries:
Username:	SCMImportWindow		Username:
Vertical tab	AsciiWindow	ASCII table description	Vertical tab
Warnings	ErrorWindow		Warnings
When checked, a project's folder is shown in Tracker when it is opened.	PrefsWindow		When checked, a project's folder is shown in Tracker when it is opened.
Yes	Paladin		Yes
Your project does not have debugging information compiled in and will need to be rebuilt to debug. Do you wish to rebuild and run the debugger?	ProjectWindow		Your project does not have debugging information compiled in and will need to be rebuilt to debug. Do you wish to rebuild and run the debugger?
